专升本高数,#genre#
1高数基础,https://1258712167.vod2.myqcloud.com/fb8e6c92vodtranscq1258712167/700710c75285890801181342881/drm/voddrm.token.dWluPTEwNDQ1MTczNDM7dm9kX3R5cGU9MDtjaWQ9MTYzMjc4Njt0ZXJtX2lkPTEwMTczMjEwOTtwbHNrZXk9MDAwNDAwMDA0ZmIyODZiZGFiOWJlNTg2NzY5MGJhZTllYzZhMGMwNDRiM2RiOTU5NDA2MTFhYjQxOWI0ODMyNGVmMDkwZGMzMDkzZTg4NmFlYTAxMWQwMjtwc2tleT1hQkpwYjMzajZvOVA3WUhSKnlGdmR0YWN5WHFKNk40Mjg5YW56ZmJzMDJnXw==.master_playlist.m3u8?t=5eb8e37c&exper=0&us=8369689045369911612&sign=2e5cb3ee6a507cf685cca21c0f005889
1第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17251512_1720115_7.mp4
2第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17532318_1720115_7.mp4
3第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17926599_1720115_7.mp4
4第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_18244392_1720115_7.mp4
5第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110112601_1720115_7.mp4
6第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110213485_1720115_7.mp4
7第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110324516_1720115_7.mp4
8第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110474723_1720115_7.mp4
9第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110581971_1720115_7.mp4
10第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110666061_1720115_7.mp4
1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111820998_1720115_7.mp4
2.1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111921566_1720115_7.mp4
2.2第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112010269_1720115_7.mp4
3第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112016410_1720115_7.mp4
4第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112363545_1720115_7.mp4
5第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112450593_1720115_7.mp4
6第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112550121_1720115_7.mp4
7第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112890240_1720115_7.mp4
8第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113036390_1720115_7.mp4
9第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113113781_1720115_7.mp4
10第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113193076_1720115_7.mp4
英语,#genre#
1第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17532576_1719369_7.mp4
2第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17927097_1719369_7.mp4
3第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_18244683_1719369_7.mp4
4第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110112698_1719369_7.mp4
5第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110213517_1719369_7.mp4
6第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110475056_1719369_7.mp4
7第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110582051_1719369_7.mp4
8第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110666170_1719369_7.mp4
9第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110800379_1719369_7.mp4
10第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_110872695_1719369_7.mp4
1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111729451_1719369_7.mp4
2第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112178051_1719369_7.mp4
3第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112300261_1719369_7.mp4
4第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112707184_1719369_7.mp4
5第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112828377_1719369_7.mp4
6第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113192196_1719369_7.mp4
7第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113192389_1719369_7.mp4
8第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113443371_1719369_7.mp4
9第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113192465_1719369_7.mp4
计算机,#genre#
1第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_11746572_1052006_7.mp4
2第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_12121245_1052006_7.mp4
3第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_12441525_1052006_7.mp4
4第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_13652382_1052006_7.mp4
5第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_13956420_1052006_7.mp4
6第一轮,http://zbywsvod.zhiboyun.eaydu.com/vod/zby/_14316846_1052006_7.mp4
7第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_14897679_1052006_7.mp4
8第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_15247470_1052006_7.mp4
9第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_16910952_1052006_7.mp4
10第一轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_17250483_1052006_7.mp4
1第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_111656826_1052006_7.mp4
2第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112103345_1052006_7.mp4
3第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112236758_1052006_7.mp4
4第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112634683_1052006_7.mp4
5第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_112756655_1052006_7.mp4
6第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113190330_1052006_7.mp4
7第二轮,http://play-back.zhiboyun.eaydu.com/vod/zby/_113190463_1052006_7.mp4
